new_id,new_name,new_slot,new_rarity,other_id,other_name,other_slot,other_rarity,relationship,rule_or_tradeoff,validation_status
dullPunch,Тупой дырокол,Оружие,Uncommon,paperKnife,Нож для бумаги,Оружие,Common,Один слот — только замена,Оба предмета занимают слот «Оружие». Новый заменяет прежний; при оценке добычи связь со снимаемой вещью не учитывается.,Проектная классификация; боевое исполнение новых правил не проверено
dullPunch,Тупой дырокол,Оружие,Uncommon,stylus,Стальной стилус,Оружие,Common,Один слот — только замена,Оба предмета занимают слот «Оружие». Новый заменяет прежний; при оценке добычи связь со снимаемой вещью не учитывается.,Проектная классификация; боевое исполнение новых правил не проверено
dullPunch,Тупой дырокол,Оружие,Uncommon,coat,Рабочая куртка,Одежда,Common,Нет специальной связи,"Новый механизм: обычная тройка черепов меняет базовый урон на барьер. Вторая вещь имеет независимое условие; специального преобразования выхода в её триггер не заявлено. Общие правила ресурсов, барьера 6, инициативы и смерти сохраняются.",Проектная классификация; боевое исполнение новых правил не проверено
dullPunch,Тупой дырокол,Оружие,Uncommon,apron,Фартук подмастерья,Одежда,Common,Компромисс / условность,Существующий барьер уменьшает объём обмена Дырокола; сумма не выше 6. При полном барьере урон тройки не отнимается.,Проектная классификация; боевое исполнение новых правил не проверено
dullPunch,Тупой дырокол,Оружие,Uncommon,copperClip,Медная скрепка,Талисман,Common,Нет специальной связи,"Новый механизм: обычная тройка черепов меняет базовый урон на барьер. Вторая вещь имеет независимое условие; специального преобразования выхода в её триггер не заявлено. Общие правила ресурсов, барьера 6, инициативы и смерти сохраняются.",Проектная классификация; боевое исполнение новых правил не проверено
dullPunch,Тупой дырокол,Оружие,Uncommon,bluePass,Синий пропуск,Талисман,Common,Нет специальной связи,"Новый механизм: обычная тройка черепов меняет базовый урон на барьер. Вторая вещь имеет независимое условие; специального преобразования выхода в её триггер не заявлено. Общие правила ресурсов, барьера 6, инициативы и смерти сохраняются.",Проектная классификация; боевое исполнение новых правил не проверено
dullPunch,Тупой дырокол,Оружие,Uncommon,scholar,Печать стажёра,Кольцо,Common,Нет специальной связи,"Новый механизм: обычная тройка черепов меняет базовый урон на барьер. Вторая вещь имеет независимое условие; специального преобразования выхода в её триггер не заявлено. Общие правила ресурсов, барьера 6, инициативы и смерти сохраняются.",Проектная классификация; боевое исполнение новых правил не проверено
dullPunch,Тупой дырокол,Оружие,Uncommon,abacus,Счётные костяшки,Кольцо,Common,Компромисс / условность,Существующий барьер уменьшает объём обмена Дырокола; сумма не выше 6. При полном барьере урон тройки не отнимается.,Проектная классификация; боевое исполнение новых правил не проверено
dullPunch,Тупой дырокол,Оружие,Uncommon,tideNeedle,Игла прилива,Оружие,Uncommon,Один слот — только замена,Оба предмета занимают слот «Оружие». Новый заменяет прежний; при оценке добычи связь со снимаемой вещью не учитывается.,Проектная классификация; боевое исполнение новых правил не проверено
dullPunch,Тупой дырокол,Оружие,Uncommon,chargeSeal,Молоток наборщика,Оружие,Uncommon,Один слот — только замена,Оба предмета занимают слот «Оружие». Новый заменяет прежний; при оценке добычи связь со снимаемой вещью не учитывается.,Проектная классификация; боевое исполнение новых правил не проверено
